item number,timestamp,item,material,supplier,location,season,cost price,sale price,mrp,quality,availability,competitor price,price_difference,price_status,optimized price
203, 10/22/2024 22:04:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
204, 10/22/2024 22:06:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
205, 10/22/2024 22:08:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
206, 10/22/2024 22:10:05, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
207, 10/22/2024 22:12:10, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
208, 10/22/2024 22:14:05, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
209, 10/22/2024 22:16:10, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
210, 10/22/2024 22:18:05, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,899,-719,Underpriced,198.0
211, 10/22/2024 22:20:10, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,599,-349,Underpriced,275.0
212, 10/22/2024 22:22:15, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,350,30,Competitive,380.0
213, 10/22/2024 22:24:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,294,-269,Underpriced,27.5
214, 10/22/2024 22:26:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,1499,-799,Underpriced,770.0
215, 10/22/2024 22:28:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,237,83,Overpriced,336.0
216, 10/22/2024 22:30:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,539,-449,Underpriced,99.0
217, 10/22/2024 22:32:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,899,-719,Underpriced,198.0
218, 10/22/2024 22:34:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,329,11,Competitive,340.0
219, 10/22/2024 22:36:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,1599,-1319,Underpriced,308.0
220, 10/22/2024 22:38:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,180,30,Competitive,210.0
221, 10/22/2024 22:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
222, 10/22/2024 22:42:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,899,-769,Underpriced,143.0
223, 10/22/2024 22:44:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
224, 10/22/2024 22:46:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
225, 10/22/2024 22:48:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,120,30,Competitive,150.0
226, 10/22/2024 22:50:10, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,450,-130,Underpriced,352.0
227, 10/22/2024 22:52:15, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
228, 10/22/2024 22:54:10, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
229, 10/22/2024 22:56:15, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
230, 10/22/2024 22:58:10, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,900,-720,Underpriced,198.0
231, 10/22/2024 23:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,1399,-1149,Underpriced,275.0
232, 10/22/2024 23:02:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,350,30,Competitive,380.0
233, 10/22/2024 23:04:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,499,-474,Underpriced,27.5
234, 10/22/2024 23:06:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
235, 10/22/2024 23:08:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,237,83,Overpriced,336.0
236, 10/22/2024 23:10:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,60,30,Competitive,90.0
237, 10/22/2024 23:12:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,649,-469,Underpriced,198.0
238, 10/22/2024 23:14:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,329,11,Competitive,340.0
239, 10/22/2024 23:16:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,599,-319,Underpriced,308.0
240, 10/22/2024 23:18:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,663,-453,Underpriced,231.0
241, 10/22/2024 23:20:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,399,-149,Underpriced,275.0
242, 10/22/2024 23:22:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,298,-168,Underpriced,143.0
243, 10/22/2024 23:24:15, Kurta, Linen, Swastik Textiles, Jaipur,summer,320,360,450,Good,Yes,1295,-935,Underpriced,396.0
244, 10/22/2024 23:26:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
245, 10/22/2024 23:28:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
246, 10/22/2024 23:30:10, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
247, 10/22/2024 23:32:15, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
248, 10/22/2024 23:34:10, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
249, 10/22/2024 23:36:15, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
250, 10/22/2024 23:38:10, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,899,-719,Underpriced,198.0
251, 10/22/2024 23:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,1399,-1149,Underpriced,275.0
252, 10/22/2024 23:42:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,100,30,Competitive,130.0
253, 10/22/2024 23:44:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
254, 10/22/2024 23:46:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
255, 10/22/2024 23:48:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
256, 10/22/2024 23:50:10, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,1679,-1359,Underpriced,352.0
257, 10/22/2024 23:52:15, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,265,-225,Underpriced,44.0
258, 10/22/2024 23:54:10, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
259, 10/22/2024 23:56:15, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
260, 10/22/2024 23:58:10, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,649,-469,Underpriced,198.0
261, 10/23/2024 00:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,283,-33,Underpriced,273.0
262, 10/23/2024 00:02:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,1295,-915,Underpriced,418.0
263, 10/23/2024 00:04:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,549,-524,Underpriced,27.5
264, 10/23/2024 00:06:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
265, 10/23/2024 00:08:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,237,83,Overpriced,336.0
266, 10/23/2024 00:10:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,539,-449,Underpriced,99.0
267, 10/23/2024 00:12:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,649,-469,Underpriced,198.0
268, 10/23/2024 00:14:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,329,11,Competitive,340.0
269, 10/23/2024 00:16:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,1599,-1319,Underpriced,308.0
270, 10/23/2024 00:18:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,939,-729,Underpriced,231.0
271, 10/23/2024 00:20:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
272, 10/23/2024 00:22:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,100,30,Competitive,130.0
273, 10/23/2024 00:24:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
274, 10/23/2024 00:26:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
275, 10/23/2024 00:28:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,539,-389,Underpriced,165.0
276, 10/23/2024 00:30:10, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,237,83,Overpriced,336.0
277, 10/23/2024 00:32:15, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
278, 10/23/2024 00:34:10, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,599,-369,Underpriced,253.0
279, 10/23/2024 00:36:15, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,329,-49,Underpriced,308.0
280, 10/23/2024 00:38:10, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,499,-319,Underpriced,198.0
281, 10/23/2024 00:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,599,-349,Underpriced,275.0
282, 10/23/2024 00:42:10, Lungi, Cotton, Shree Ram Textiles, Erode, All time,100,130,160, Good, Yes,1199,-1069,Underpriced,143.0
283, 10/23/2024 00:44:15, Kurta, Linen, Swastik Textiles, Jaipur, Summer,320,360,450, Good, Yes,330,30,Competitive,360.0
284, 10/23/2024 00:46:05, Saree, Chiffon, Ravi Textiles, Surat, All time,400,450,600, Good, Yes,420,30,Competitive,450.0
285, 10/23/2024 00:48:15, Blouse, Silk, Shree Fabrics, Pali, All time,130,150,200, Good, Yes,279,-129,Underpriced,165.0
286, 10/23/2024 00:50:10, Dupatta, Cotton, Balaji Textiles, Surat, Summer,280,320,400, Good, Yes,465,-145,Underpriced,352.0
287, 10/23/2024 00:52:15, Pillow cover, Cotton, RSN Textiles, Erode, All time,30,40,50, Good, Yes,497,-457,Underpriced,44.0
288, 10/23/2024 00:54:10, Bedsheet, Cotton, RR Textiles, Surat, All time,200,230,300, Good, Yes,200,30,Competitive,230.0
289, 10/23/2024 00:56:15, Skirt, Linen, Royal Fabrics, Ahmedabad, Summer,250,280,350, Good, Yes,699,-419,Underpriced,308.0
290, 10/23/2024 00:58:10, Pajamas, Cotton, Vimal Textiles, Ahmedabad, All time,150,180,250, Good, Yes,429,-249,Underpriced,198.0
291, 10/23/2024 01:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
292, 10/23/2024 01:02:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,1799,-1419,Underpriced,418.0
293, 10/23/2024 01:04:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur,summer,320,327,450,Good,Yes,499,-172,Underpriced,359.7
294, 10/23/2024 01:06:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
295, 10/23/2024 01:08:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,290,30,Competitive,320.0
296, 10/23/2024 01:10:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,488,-398,Underpriced,99.0
297, 10/23/2024 01:12:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,719,-539,Underpriced,198.0
298, 10/23/2024 01:14:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,425,-85,Underpriced,374.0
299, 10/23/2024 01:16:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,250,30,Competitive,280.0
300, 10/23/2024 01:18:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,180,30,Competitive,210.0
301, 10/23/2024 01:20:15, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
302, 10/23/2024 01:22:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,849,-469,Underpriced,418.0
303, 10/23/2024 01:24:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,372,-347,Underpriced,27.5
304, 10/23/2024 01:26:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
305, 10/23/2024 01:28:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,290,30,Competitive,320.0
306, 10/23/2024 01:30:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,439,-349,Underpriced,99.0
307, 10/23/2024 01:32:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,669,-489,Underpriced,198.0
308, 10/23/2024 01:34:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,425,-85,Underpriced,374.0
309, 10/23/2024 01:36:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,250,30,Competitive,280.0
310, 10/23/2024 01:38:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,474,-264,Underpriced,231.0
311, 10/23/2024 01:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,489,-239,Underpriced,275.0
312, 10/23/2024 01:42:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,879,-499,Underpriced,418.0
313, 10/23/2024 01:44:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,372,-347,Underpriced,27.5
314, 10/23/2024 01:46:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
315, 10/23/2024 01:48:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,290,30,Competitive,320.0
316, 10/23/2024 01:50:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,629,-539,Underpriced,99.0
317, 10/23/2024 01:52:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,669,-489,Underpriced,198.0
318, 10/23/2024 01:54:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,425,-85,Underpriced,374.0
319, 10/23/2024 01:56:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,250,30,Competitive,280.0
320, 10/23/2024 01:58:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,180,30,Competitive,210.0
321, 10/23/2024 02:00:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
322, 10/23/2024 02:02:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,599,-219,Underpriced,418.0
323, 10/23/2024 02:04:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,499,-474,Underpriced,27.5
324, 10/23/2024 02:06:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
325, 10/23/2024 02:08:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,290,30,Competitive,320.0
326, 10/23/2024 02:10:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,629,-539,Underpriced,99.0
327, 10/23/2024 02:12:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,649,-469,Underpriced,198.0
328, 10/23/2024 02:14:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,849,-509,Underpriced,374.0
329, 10/23/2024 02:16:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,250,30,Competitive,280.0
330, 10/23/2024 02:18:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,686,-476,Underpriced,231.0
331, 10/23/2024 02:20:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
332, 10/23/2024 02:22:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,380,450, Good, Yes,2479,-2099,Underpriced,418.0
333, 10/23/2024 02:24:05, Handkerchief, Cotton, Sai Ram Fabrics, Tirupur, All time,20,25,35, Good, Yes,699,-674,Underpriced,27.5
334, 10/23/2024 02:26:10, Saree, Silk, Sri Lakshmi Silks, Surat, Marriage,650,700,850, Good, Yes,670,30,Competitive,700.0
335, 10/23/2024 02:28:15, Dupatta, Silk, Emco Textiles, Jetpur, All time,280,320,400, Good, Yes,290,30,Competitive,320.0
336, 10/23/2024 02:30:10, Blouse, Cotton, Sathya Textiles, Pali, All time,70,90,120, Good, Yes,784,-694,Underpriced,99.0
337, 10/23/2024 02:32:15, Pajamas, Cotton, Vimal Textiles, Ahmedabad, Summer,150,180,250, Good, Yes,669,-489,Underpriced,198.0
338, 10/23/2024 02:34:10, Skirt, Chiffon, Ravi Textiles, Surat, All time,300,340,420, Good, Yes,390,-50,Underpriced,374.0
339, 10/23/2024 02:36:15, Shirt, Linen, Sri Velavan Textiles, Erode, All time,250,280,350, Good, Yes,250,30,Competitive,280.0
340, 10/23/2024 02:38:10, Bedsheet, Cotton, RR Textiles, Surat, All time,180,210,260, Good, Yes,620,-410,Underpriced,231.0
341, 10/23/2024 02:40:05, T-shirt, Cotton, Sri Velavan Textiles, Erode, All time,220,250,300, Good, Yes,220,30,Competitive,250.0
342, 10/23/2024 02:42:10, Kurta, Rayon, Vasanth Textiles, Tirupur, Summer,340,250,420,Good,Yes,599,-349,Underpriced,275.0
343, 10/22/2024 16:12:30, Stole, Silk, Trendy Textiles, Jaipur, All time,150,180,220, Good, Yes,1199,-1019,Underpriced,198.0
344, 10/22/2024 16:14:05, Leggings, Cotton, Fashion Hub, Delhi, Daily,200,250,300, Good, Yes,220,30,Competitive,250.0
345, 10/22/2024 16:16:14, Kurti, Rayon, Ethnic Styles, Surat, Casual,400,450,500, Good, Yes,2479,-2029,Underpriced,495.0
346, 10/22/2024 16:18:30, Waistcoat, Wool, Royal Attire, Ahmedabad, Formal,700,800,900, Good, Yes,770,30,Competitive,800.0
347, 10/22/2024 16:20:15, Cape, Chiffon, Modern Designs, Coimbatore, Party,350,400,450, Good, Yes,1999,-1599,Underpriced,440.0
348, 10/22/2024 16:22:40, Trousers, Cotton, Everyday Wear, Bangalore, Casual,300,350,400, Good, Yes,1943,-1593,Underpriced,385.0
349, 10/22/2024 16:24:25, Blazer, Linen, Classic Fit, Mumbai, Formal,1000,1100,1200, Good, Yes,3299,-2199,Underpriced,1210.0
350, 10/22/2024 16:26:10, Maxi Dress, Georgette, Summer Vibes, Chennai, All time,600,700,800, Good, Yes,499,201,Overpriced,720.0
351, 10/22/2024 16:28:55, Nightgown, Satin, Dreamy Fabrics, Kolkata, Sleepwear,400,450,500, Good, Yes,779,-329,Underpriced,495.0
352, 10/22/2024 16:30:45, Poncho, Wool, Winter Wear, Ludhiana, Winter,500,550,600, Good, Yes,520,30,Competitive,550.0
353, 10/22/2024 16:32:30, Jumpsuit, Cotton, Fashion Forward, Jaipur, Casual,800,900,1000, Good, Yes,870,30,Competitive,900.0
354, 10/22/2024 16:34:15, Cape, Velvet, Festive Looks, Surat, Party,700,800,900, Good, Yes,1999,-1199,Underpriced,880.0
355, 10/22/2024 16:36:00, Shrug, Chiffon, Light Layers, Bangalore, Summer,250,300,350, Good, Yes,299,1,Competitive,300.0
356, 10/22/2024 16:37:45, Dhoti, Cotton, Traditional Styles, Erode, Festival,600,650,700, Good, Yes,620,30,Competitive,650.0
357, 10/22/2024 16:39:30, Cardigan, Wool, Cozy Knit, Pune, Winter,400,450,500, Good, Yes,999,-549,Underpriced,495.0
358, 10/22/2024 16:41:15, Tunic, Linen, Breezy Fit, Coimbatore, Casual,300,350,400, Good, Yes,854,-504,Underpriced,385.0
359, 10/22/2024 16:43:00, A-line Dress, Georgette, Elegant Fashion, Hyderabad, Formal,800,900,1000, Good, Yes,359,541,Overpriced,960.0
360, 10/22/2024 16:44:45, Skirt, Satin, Stylish Flare, Kolkata, Party,500,600,700, Good, Yes,399,201,Overpriced,600.0
361, 10/22/2024 16:46:30, Culottes, Cotton, Trendy Trousers, Chennai, Casual,400,450,500, Good, Yes,420,30,Competitive,450.0
362, 10/22/2024 16:48:15, Sweatshirt, Polyester, Casual Comfort, Bangalore, Daily,300,350,400, Good, Yes,749,-399,Underpriced,385.0
363, 10/22/2024 16:50:00, Peplum Top, Chiffon, Stylish Silhouette, Mumbai, Party,450,500,550, Good, Yes,470,30,Competitive,500.0
364, 10/22/2024 16:51:45, Anarkali, Silk, Regal Look, Jaipur, Wedding,1200,1300,1400, Good, Yes,560,740,Overpriced,1440.0
365, 10/22/2024 16:53:30, T-shirt, Cotton, Casual Wear, Delhi, Daily,150,180,220, Good, Yes,150,30,Competitive,180.0
366, 10/22/2024 16:55:15, Duster Coat, Wool, Fashion Layers, Surat, Winter,600,700,800, Good, Yes,379,321,Overpriced,720.0
367, 10/22/2024 16:57:00, Kaftan, Rayon, Breezy Fit, Erode, Casual,500,550,600, Good, Yes,1499,-949,Underpriced,605.0
368, 10/22/2024 16:58:45, Mini Skirt, Denim, Stylish Casual, Bangalore, Daily,400,450,500, Good, Yes,399,51,Overpriced,480.0
369, 10/22/2024 17:00:30, Lingerie Set, Lace, Elegant Comfort, Kolkata, Sleepwear,700,800,900, Good, Yes,479,321,Overpriced,840.0
370, 10/22/2024 17:02:15, Overcoat, Wool, Chic Winter, Mumbai, Winter,1200,1300,1400, Good, Yes,1270,30,Competitive,1300.0
371, 10/22/2024 17:04:00, Palazzo Pants, Linen, Fashion Forward, Coimbatore, Casual,500,600,700, Good, Yes,399,201,Overpriced,600.0
372, 10/22/2024 17:05:45, Long Skirt, Georgette, Flowing Style, Hyderabad, Party,800,900,1000, Good, Yes,849,51,Overpriced,960.0
373, 10/22/2024 17:07:30, Cropped Top, Cotton, Summer Style, Delhi, Casual,200,250,300, Good, Yes,220,30,Competitive,250.0
374, 10/22/2024 17:09:15, Jumpsuit, Silk, Fashion Elegance, Surat, Wedding,900,1000,1100, Good, Yes,970,30,Competitive,1000.0
375, 10/22/2024 17:11:00, Wrap Dress, Chiffon, Stylish Look, Bangalore, Evening,700,800,900, Good, Yes,2479,-1679,Underpriced,880.0
376, 10/22/2024 17:12:45, Puffer Jacket, Polyester, Winter Warmth, Pune, Winter,800,900,1000, Good, Yes,1599,-699,Underpriced,990.0
377, 10/22/2024 17:14:30, Tunic Dress, Rayon, Everyday Wear, Chennai, Casual,500,600,700, Good, Yes,999,-399,Underpriced,660.0
378, 10/22/2024 17:16:15, Bodycon Dress, Lycra, Party Glam, Kolkata, Evening,900,1000,1100, Good, Yes,799,201,Overpriced,1080.0
379, 10/22/2024 17:18:00, Cardigan, Cotton, Layering Essentials, Mumbai, Daily,400,450,500, Good, Yes,1599,-1149,Underpriced,495.0
380, 10/22/2024 17:19:45, Kimono, Silk, Stylish Wrap, Delhi, Party,600,700,800, Good, Yes,499,201,Overpriced,720.0
381, 10/22/2024 17:21:30, Long Sleeve Shirt, Cotton, Smart Casual, Bangalore, Daily,300,350,400, Good, Yes,2999,-2649,Underpriced,385.0
382, 10/22/2024 17:23:15, Palazzo, Chiffon, Flowy Style, Surat, Evening,500,600,700, Good, Yes,379,221,Overpriced,600.0
383, 10/22/2024 17:25:00, Cropped Hoodie, Polyester, Urban Fashion, Pune, Casual,400,450,500, Good, Yes,420,30,Competitive,450.0
384, 10/22/2024 17:26:45, Shift Dress, Georgette, Effortless Style, Chennai, Casual,600,700,800, Good, Yes,2796,-2096,Underpriced,770.0
385, 10/22/2024 17:28:30, Jodhpuri Suit, Silk, Traditional Elegance, Jaipur, Wedding,1500,1600,1700, Good, Yes,2839,-1239,Underpriced,1760.0
386, 10/22/2024 17:30:15, Layered Top, Cotton, Casual Comfort, Kolkata, Daily,300,350,400, Good, Yes,320,30,Competitive,350.0
387, 10/22/2024 17:32:00, A-line Skirt, Linen, Summer Breeze, Mumbai, Casual,500,550,600, Good, Yes,419,131,Overpriced,600.0
388, 10/22/2024 17:33:45, Sports Jacket, Polyester, Active Wear, Bangalore, Sports,800,900,1000, Good, Yes,799,101,Overpriced,960.0
389, 10/22/2024 17:35:30, Ball Gown, Satin, Glamorous Nights, Hyderabad, Evening,2000,2100,2200, Good, Yes,1394,706,Overpriced,2400.0
390, 10/22/2024 17:37:15, Henley Shirt, Cotton, Casual Layer, Delhi, Daily,350,400,450, Good, Yes,499,-99,Underpriced,440.0
391, 10/22/2024 17:39:00, Shrug, Wool, Warm Layer, Surat, Winter,500,600,700, Good, Yes,570,30,Competitive,600.0
392, 10/22/2024 17:40:45, Pencil Skirt, Georgette, Office Chic, Coimbatore, Formal,800,900,1000, Good, Yes,399,501,Overpriced,960.0
393, 10/22/2024 17:42:30, Trench Coat, Cotton, Classic Style, Mumbai, Winter,1200,1300,1400, Good, Yes,1899,-599,Underpriced,1430.0
394, 10/22/2024 17:44:15, Wrap Top, Chiffon, Stylish Fit, Chennai, Party,450,500,550, Good, Yes,899,-399,Underpriced,550.0
